"","V1","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK","STATE"
"1",198922,"G49000101001001",490011001001,"27","3",49
"2",198923,"G49000101001002",490011001002,"50","8",49
"3",198924,"G49000101001003",490011001003,"48","8",49
"4",198925,"G49000101002001",490011002001,"49","8",49
"5",198926,"G49000101002002",490011002002,"60","9",49
"6",198927,"G49000101002003",490011002003,"80","10",49
"7",198928,"G49000309601001",490039601001,"49","8",49
"8",198929,"G49000309601002",490039601002,"35","5",49
"9",198930,"G49000309601003",490039601003,"57","9",49
"10",198931,"G49000309602001",490039602001,"44","7",49
"11",198932,"G49000309602002",490039602002,"45","7",49
"12",198933,"G49000309602003",490039602003,"56","9",49
"13",198934,"G49000309602004",490039602004,"39","6",49
"14",198935,"G49000309602005",490039602005,"38","6",49
"15",198936,"G49000309602006",490039602006,"59","9",49
"16",198937,"G49000309603001",490039603001,"47","7",49
"17",198938,"G49000309603002",490039603002,"63","10",49
"18",198939,"G49000309603003",490039603003,"79","10",49
"19",198940,"G49000309603004",490039603004,"51","8",49
"20",198941,"G49000309603005",490039603005,"55","9",49
"21",198942,"G49000309603006",490039603006,"54","9",49
"22",198943,"G49000309604001",490039604001,"41","6",49
"23",198944,"G49000309604002",490039604002,"41","6",49
"24",198945,"G49000309604003",490039604003,"57","9",49
"25",198946,"G49000309605001",490039605001,"43","7",49
"26",198947,"G49000309605002",490039605002,"48","8",49
"27",198948,"G49000309605003",490039605003,"61","9",49
"28",198949,"G49000309605004",490039605004,"65","10",49
"29",198950,"G49000309606011",490039606011,"64","10",49
"30",198951,"G49000309606012",490039606012,"44","7",49
"31",198952,"G49000309606013",490039606013,"53","8",49
"32",198953,"G49000309606014",490039606014,"68","10",49
"33",198954,"G49000309606021",490039606021,"40","6",49
"34",198955,"G49000309606022",490039606022,"34","5",49
"35",198956,"G49000309606023",490039606023,"47","7",49
"36",198957,"G49000309607011",490039607011,"57","9",49
"37",198958,"G49000309607012",490039607012,"54","9",49
"38",198959,"G49000309607013",490039607013,"62","9",49
"39",198960,"G49000309607021",490039607021,"55","9",49
"40",198961,"G49000309607022",490039607022,"63","10",49
"41",198962,"G49000309608011",490039608011,"31","4",49
"42",198963,"G49000309608012",490039608012,"38","6",49
"43",198964,"G49000309608013",490039608013,"31","4",49
"44",198965,"G49000309608021",490039608021,"27","3",49
"45",198966,"G49000309608022",490039608022,"41","6",49
"46",198967,"G49000309608023",490039608023,"32","4",49
"47",198968,"G49000500001011",490050001011,"40","6",49
"48",198969,"G49000500001012",490050001012,"52","8",49
"49",198970,"G49000500001013",490050001013,"53","8",49
"50",198971,"G49000500001021",490050001021,"50","8",49
"51",198972,"G49000500001022",490050001022,"58","9",49
"52",198973,"G49000500002011",490050002011,"47","7",49
"53",198974,"G49000500002012",490050002012,"37","5",49
"54",198975,"G49000500002021",490050002021,"53","8",49
"55",198976,"G49000500002022",490050002022,"38","6",49
"56",198977,"G49000500002023",490050002023,"39","6",49
"57",198978,"G49000500002024",490050002024,"26","3",49
"58",198979,"G49000500003001",490050003001,"50","8",49
"59",198980,"G49000500003002",490050003002,"40","6",49
"60",198981,"G49000500003003",490050003003,"35","5",49
"61",198982,"G49000500003004",490050003004,"52","8",49
"62",198983,"G49000500004011",490050004011,"57","9",49
"63",198984,"G49000500004012",490050004012,"31","4",49
"64",198985,"G49000500004021",490050004021,"14","1",49
"65",198986,"G49000500004022",490050004022,"29","4",49
"66",198987,"G49000500004031",490050004031,"34","5",49
"67",198988,"G49000500004032",490050004032,"42","7",49
"68",198989,"G49000500004033",490050004033,"44","7",49
"69",198990,"G49000500004034",490050004034,"26","3",49
"70",198991,"G49000500005011",490050005011,"59","9",49
"71",198992,"G49000500005012",490050005012,"73","10",49
"72",198993,"G49000500005013",490050005013,"67","10",49
"73",198994,"G49000500005014",490050005014,"67","10",49
"74",198995,"G49000500005021",490050005021,"53","8",49
"75",198996,"G49000500005022",490050005022,"55","9",49
"76",198997,"G49000500006001",490050006001,"41","6",49
"77",198998,"G49000500006002",490050006002,"58","9",49
"78",198999,"G49000500006003",490050006003,"67","10",49
"79",199000,"G49000500006004",490050006004,"48","8",49
"80",199001,"G49000500006005",490050006005,"62","9",49
"81",199002,"G49000500006006",490050006006,"61","9",49
"82",199003,"G49000500007011",490050007011,"29","4",49
"83",199004,"G49000500007012",490050007012,"40","6",49
"84",199005,"G49000500007013",490050007013,"41","6",49
"85",199006,"G49000500007021",490050007021,"51","8",49
"86",199007,"G49000500007022",490050007022,"GQ","GQ",49
"87",199008,"G49000500007023",490050007023,"53","8",49
"88",199009,"G49000500008001",490050008001,"69","10",49
"89",199010,"G49000500008002",490050008002,"58","9",49
"90",199011,"G49000500008003",490050008003,"68","10",49
"91",199012,"G49000500008004",490050008004,"68","10",49
"92",199013,"G49000500009001",490050009001,"57","9",49
"93",199014,"G49000500009002",490050009002,"65","10",49
"94",199015,"G49000500009003",490050009003,"55","9",49
"95",199016,"G49000500010011",490050010011,"58","9",49
"96",199017,"G49000500010012",490050010012,"56","9",49
"97",199018,"G49000500010021",490050010021,"63","10",49
"98",199019,"G49000500010022",490050010022,"68","10",49
"99",199020,"G49000500010023",490050010023,"61","9",49
"100",199021,"G49000500010024",490050010024,"57","9",49
"101",199022,"G49000500011011",490050011011,"40","6",49
"102",199023,"G49000500011012",490050011012,"24","3",49
"103",199024,"G49000500011013",490050011013,"53","8",49
"104",199025,"G49000500011021",490050011021,"23","3",49
"105",199026,"G49000500011022",490050011022,"43","7",49
"106",199027,"G49000500011023",490050011023,"31","4",49
"107",199028,"G49000500012011",490050012011,"33","5",49
"108",199029,"G49000500012012",490050012012,"25","3",49
"109",199030,"G49000500012013",490050012013,"34","5",49
"110",199031,"G49000500012021",490050012021,"31","4",49
"111",199032,"G49000500012022",490050012022,"35","5",49
"112",199033,"G49000500013001",490050013001,"27","3",49
"113",199034,"G49000500013002",490050013002,"32","4",49
"114",199035,"G49000500013003",490050013003,"31","4",49
"115",199036,"G49000500014011",490050014011,"48","8",49
"116",199037,"G49000500014012",490050014012,"53","8",49
"117",199038,"G49000500014013",490050014013,"45","7",49
"118",199039,"G49000500014021",490050014021,"40","6",49
"119",199040,"G49000500014022",490050014022,"49","8",49
"120",199041,"G49000500014023",490050014023,"55","9",49
"121",199042,"G49000500015001",490050015001,"21","2",49
"122",199043,"G49000500015002",490050015002,"30","4",49
"123",199044,"G49000509801001",490059801001,"30","4",49
"124",199045,"G49000700001001",490070001001,"46","7",49
"125",199046,"G49000700001002",490070001002,"66","10",49
"126",199047,"G49000700002001",490070002001,"68","10",49
"127",199048,"G49000700002002",490070002002,"51","8",49
"128",199049,"G49000700002003",490070002003,"58","9",49
"129",199050,"G49000700003001",490070003001,"72","10",49
"130",199051,"G49000700003002",490070003002,"85","10",49
"131",199052,"G49000700003003",490070003003,"93","10",49
"132",199053,"G49000700003004",490070003004,"76","10",49
"133",199054,"G49000700005001",490070005001,"47","7",49
"134",199055,"G49000700005002",490070005002,"68","10",49
"135",199056,"G49000700006001",490070006001,"93","10",49
"136",199057,"G49000700006002",490070006002,"59","9",49
"137",199058,"G49000700006003",490070006003,"69","10",49
"138",199059,"G49000909601001",490099601001,"50","8",49
"139",199060,"G49001101251021",490111251021,"19","2",49
"140",199061,"G49001101251022",490111251022,"18","2",49
"141",199062,"G49001101251031",490111251031,"21","2",49
"142",199063,"G49001101251032",490111251032,"40","6",49
"143",199064,"G49001101251041",490111251041,"24","3",49
"144",199065,"G49001101251042",490111251042,"22","2",49
"145",199066,"G49001101251043",490111251043,"24","3",49
"146",199067,"G49001101252001",490111252001,"28","4",49
"147",199068,"G49001101252002",490111252002,"29","4",49
"148",199069,"G49001101253011",490111253011,"45","7",49
"149",199070,"G49001101253012",490111253012,"59","9",49
"150",199071,"G49001101253013",490111253013,"59","9",49
"151",199072,"G49001101253014",490111253014,"57","9",49
"152",199073,"G49001101253031",490111253031,"25","3",49
"153",199074,"G49001101253032",490111253032,"32","4",49
